word,count,isDifficult,difficulty,translation,definition,phonetic
evacuate,2,yes,foundation,"v. 疏散, 撤出, 排泄","v. move out of an unsafe location into safety；v. empty completely；v. move people from their homes or country；v. create a vacuum in (a bulb, flask, reaction vessel)",i'vækjueit
steady,2,no,,,,
sir,2,no,,,,
girl,2,no,,,,
shot,2,no,,,,
jack,2,yes,foundation,"n. 插座, 千斤顶, 男人；vt. 抬起, 提醒, 扛举, 增加, 提高, 放弃；a. 雄的；[计] 插座",n. a small worthless amount；n. a small ball at which players aim in lawn bowling；n. an electrical device consisting of a connector socket designed for the insertion of a plug；n. game equipment consisting of one of several small six-pointed metal pieces that are picked up while bouncing a ball in the game of jacks,dʒæk
ground,2,yes,intermediate,"n. 土地, 战场, 场地, 地面, 范围；a. 土地的, 地面上的；vt. 放在地上, 使搁浅, 打基础, 给...以训练；vi. 搁浅, 落地, 根据, 基于；a. 磨过的；grind的过去式和过去分词","n. a position to be won or defended in battle (or as if in battle)；n. a relatively homogeneous percept extending back of the figure on which attention is focused；n. a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)；n. (art) the surface (as a wall or canvas) prepared to take the paint for a painting",graund
civvy,2,no,,,,
ignore,2,no,,,,
proud,2,no,,,,
www.my-subs.co,1,no,,,,
afraid,1,no,,,,
says,1,no,,,,
madonna,1,no,,,,
blondie,1,no,,,,
bowie,1,no,,,,
beatles,1,no,,,,
prisoners,1,no,,,,
contained,1,no,,,,
working,1,no,,,,
block,1,no,,,,
blocks,1,no,,,,
guess,1,no,,,,
huh,1,no,,,,
visit,1,no,,,,
murray,1,no,,,,
getting,1,no,,,,
starsky,1,no,,,,
hutch,1,no,,,,
eight,1,no,,,,
funeral,1,no,,,,
anybody,1,no,,,,
kidding,1,no,,,,
hero,1,no,,,,
felt,1,no,,,,
easier,1,no,,,,
misses,1,no,,,,
hate,1,no,,,,
interrupt,1,no,,,,
apparently,1,no,,,,
climb,1,no,,,,
this'll,1,no,,,,
hundred,1,no,,,,
odds,1,no,,,,
pulse,1,no,,,,
dropping,1,no,,,,
one-fifty,1,no,,,,
bp's,1,no,,,,
hi,1,no,,,,
jane,1,no,,,,
dude,1,no,,,,
expanded,1,no,,,,
nevada,1,no,,,,
domino's,1,no,,,,
dominoes,1,no,,,,
suzie's,1,no,,,,
save,1,no,,,,
rich,1,no,,,,
d&d,1,no,,,,
nintendo,1,no,,,,
lives,1,no,,,,
totally,1,no,,,,
sh,1,no,,,,
anymore,1,no,,,,
o,1,no,,,,
course,1,no,,,,
born,1,no,,,,
stumbled,1,no,,,,
fate,1,no,,,,
destiny,1,no,,,,
simple,1,no,,,,
dumb,1,yes,foundation,"a. 哑的, 不说话的, 无声音的；[医] 哑的",s. lacking the power of human speech；s. unable to speak because of hereditary deafness,dʌm
luck,1,no,,,,
random,1,no,,,,
nerd,1,yes,foundation,n. 讨厌的人；呆子,n. an intelligent but single-minded expert in a particular technical field or profession,nә:d
